doa,lag_seconds,GoogleLat,GoogleLng,
7,0,33.57758,-86.78049,
7,0,33.52791,-86.80425,
7,0,34.50251,-85.83998,
0,3165,32.19383,-86.41854,
0,64,33.6228,-85.7504,
7,0,31.49236,-86.94489,
7,0,30.52377,-88.22049,
7,0,31.94581,-87.98221,
7,0,33.9371,-87.39744,
7,0,34.85362,-86.59471,
7,25,32.04782,-85.08638,
7,0,34.9752,-86.88213,
7,0,34.73229,-87.00347,
7,0,34.47403,-86.80043,
7,0,30.75571,-88.21768,
0,46,30.59663,-88.16071,
7,90,34.20097,-87.43766,
7,0,33.77595,-88.02951,
7,13,34.73539,-86.62301,
0,1668,32.57487,-85.76504,
7,18,34.14029,-86.26968,
0,55,32.53889,-86.44024,
0,76,32.56635,-85.06096,
7,0,33.97179,-86.72907,
7,42,34.09552,-85.89008,
7,0,34.09552,-85.89008,
7,21,33.64064,-85.52476,
7,10,31.06347,-87.26991,
7,50,34.4322,-87.69043,
0,0,33.43703,-86.95393,
7,0,31.78043,-88.3742,
7,60,31.53327,-86.90151,
0,60,32.65636,-86.49956,
7,25,32.52541,-86.21156,
0,2235,34.14391,-86.76127,
7,0,30.7335,-88.24694,
0,107,31.49651,-86.93206,
7,0,31.49651,-86.93206,
7,0,34.18235,-86.86206,
7,108,34.26411,-87.49824,
0,18105,34.35812,-86.62661,
0,395,30.63525,-88.14113,
7,0,33.21191,-87.20953,
0,178,34.15063,-87.39926,
0,1209,33.80729,-87.1424,
7,0,32.57516,-88.24936,
0,65,32.27503,-85.30979,
7,0,34.57097,-86.12669,
7,0,30.81096,-88.26017,
7,50,33.38483,-85.29855,
0,82,30.76751,-88.37353,
7,24,31.82877,-86.65704,
7,0,33.22563,-87.58066,
7,75,34.32969,-87.03646,
7,0,33.72614,-87.00822,
7,0,31.71962,-87.52261,
7,83,31.65372,-85.35951,
7,75,32.64964,-86.69728,
7,25920,34.9704,-87.19634,
7,25972,34.10758,-86.80798,
7,0,33.74751,-87.07208,
7,0,34.1137,-86.83793,
7,47,32.67429,-85.33074,
7,0,34.64907,-87.80422,
7,0,34.74203,-86.5917,
0,82,33.58415,-86.03924,
7,0,33.88084,-87.32849,
7,0,33.92368,-87.62394,
7,285,33.92368,-87.62394,
7,0,31.93102,-87.97924,
0,3065,31.93102,-87.97924,
7,0,31.53441,-87.90525,
7,0,34.27603,-86.52594,
7,0,34.74294,-87.92509,
7,0,32.98811,-87.78928,
7,0,34.82224,-86.8605,
7,63,34.95205,-86.89278,
7,35,32.34138,-86.04075,
7,228,32.34138,-86.04075,
7,73,33.96522,-85.75723,
7,0,33.689,-85.88532,
7,0,33.60386,-86.01273,
7,0,33.0523,-86.81129,
7,0,31.11294,-86.11108,
7,70,32.18925,-85.87531,
7,0,33.69088,-87.8405,
0,1170,34.66885,-87.6995,
0,84,34.7222,-86.37151,
7,7,33.54962,-86.80907,
0,352,32.44984,-86.15319,
0,52,32.82538,-85.44374,
7,0,34.56512,-85.61759,
0,95,33.89178,-86.75421,
0,95,33.77853,-86.81746,
7,0,33.53779,-85.63608,
7,0,34.82651,-87.08031,
7,0,30.55242,-88.1238,
7,0,30.55242,-88.1238,
7,0,30.55242,-88.1238,
7,0,33.52263,-86.81072,
7,30,33.00049,-86.03331,
7,0,33.78598,-86.27345,
0,57,32.56147,-85.12312,
0,175,33.93242,-88.01803,
7,15,33.19978,-87.56657,
0,70,31.32586,-86.94334,
0,585,30.80826,-88.39026,
7,0,31.01502,-87.84744,
7,0,33.94871,-85.57579,
7,50,34.43043,-85.92981,
7,0,34.03358,-86.15115,
7,0,34.03358,-86.15115,
7,0,33.51705,-86.14839,
7,800,33.24059,-87.15267,
0,30,34.17844,-86.74262,
7,30,34.17844,-86.74262,
0,1145,31.76387,-87.71101,
7,0,32.07831,-87.84983,
7,0,33.73655,-85.7943,
0,80,33.17145,-87.42133,
7,145,32.96657,-86.00369,
7,0,33.50651,-86.82797,
7,0,31.87574,-86.41151,
7,0,31.87574,-86.41151,
7,0,34.48856,-87.73225,
7,0,33.53319,-86.80091,
7,5,34.09824,-86.36197,
7,5,34.09824,-86.36197,
7,0,30.34189,-87.68313,
7,0,32.28914,-86.33936,
7,4404,31.40333,-87.21641,
7,0,34.68893,-85.79603,
7,0,32.21382,-88.12602,
0,167,33.62991,-85.91592,
7,42,32.6036,-86.16224,
7,35,32.6036,-86.16224,
0,33,31.83705,-85.89842,
